,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
0,,,,,,,,,,, 240000000,,
1,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
2,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
3,,,,,,,,,,, 647307563,,
4,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
5,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
6,,,,,,,,,,, 561960000,,
7,2.0,2.0,6.0,menor a 1 año,Otro,$ 180.000 COP,$ 7.421.875*m²,1.0,Excelente,, 475000000,64 ,64 
8,,,,,,,,,,, 631862400,,
9,,,4.0,,,,,,Sobre planos,, 297126000,,
10,4.0,5.0,6.0,1 a 8 años,15,$ 650.000 COP,"$ 6.162.790,7*m²",2.0,Excelente,, 1060000000,172 ,172 
11,3.0,2.0,5.0,9 a 15 años,2,No definida,"$ 3.334.127,17*m²",,Bueno,, 420000000,"125,97 ",115 
12,2.0,2.0,3.0,9 a 15 años,5,$ 40.000 COP,"$ 4.818.181,82*m²",1.0,Excelente,Duplex, 265000000,55 ,55 
13,3.0,3.0,4.0,9 a 15 años,1,$ 244.000 COP,"$ 4.487.099,59*m²",1.0,Excelente,Duplex, 360000000,"80,23 ","80,23 "
14,,,,,,,,,,, 347300000,,
15,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
16,3.0,2.0,5.0,9 a 15 años,2,$ 60.000 COP,"$ 4.551.282,05*m²",1.0,,, 355000000,78 ,0 
17,,,,,,,,,,, 1417743028,,
18,3.0,3.0,6.0,,,No definida,"$ 6.461.538,46*m²",,,, 840000000,130 ,130 
19,3.0,2.0,5.0,16 a 30 años,4,No definida,"$ 3.698.630,14*m²",1.0,Bueno,, 270000000,73 ,0 
20,,,,,,,,,,, 543532000,,
21,2.0,2.0,4.0,,,$ 230.000 COP,"$ 5.333.333,33*m²",1.0,,, 320000000,60 ,0 
22,3.0,3.0,4.0,16 a 30 años,7,$ 311.000 COP,"$ 3.197.674,42*m²",1.0,,, 275000000,86 ,86 
23,,,,,,,,,,, 295210000,,
24,2.0,2.0,4.0,16 a 30 años,11,No definida,"$ 4.081.632,65*m²",,,, 200000000,49 ,0 
25,3.0,2.0,5.0,1 a 8 años,Otro,$ 281.000 COP,"$ 6.798.801,57*m²",1.0,Excelente,, 590000000,"86,78 ",87 
26,,,4.0,,,,,,En construcción,, 488100000,,
27,5.0,5.0,4.0,más de 30 años,Otro,$ 843.000 COP,"$ 2.188.552,19*m²",1.0,Excelente,, 650000000,297 ,297 
28,,,,,,,,,,, 214626000,,
29,,,6.0,,,,,,Sobre planos,, 553675000,,
30,3.0,2.0,5.0,1 a 8 años,Otro,$ 450.000 COP,$ 5.800.000*m²,2.0,Excelente,PentHouse, 638000000,110 ,0 
31,3.0,3.0,5.0,9 a 15 años,,$ 320.000 COP,"$ 4.702.380,95*m²",1.0,,, 395000000,84 ,84 
32,,,,,,,,,,, 156520000,,
33,4.0,5.0,6.0,9 a 15 años,7,$ 900.000 COP,"$ 4.280.155,64*m²",2.0,Excelente,Duplex, 1100000000,257 ,257 
34,1.0,1.0,5.0,1 a 8 años,9,$ 65.500 COP,$ 6.000.000*m²,,Excelente,Loft, 180000000,30 ,30 
35,,,,,,,,,,, 825894200,,
36,3.0,4.0,5.0,más de 30 años,3,$ 607.000 COP,"$ 4.170.212,77*m²",1.0,Excelente,Duplex, 980000000,235 ,235 
37,3.0,5.0,6.0,9 a 15 años,Otro,$ 1.050.000 COP,$ 7.400.000*m²,3.0,,, 1850000000,250 ,250 
38,3.0,2.0,3.0,1 a 8 años,,$ 163.000 COP,$ 4.200.000*m²,,,, 210000000,50 ,0 
39,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
40,4.0,3.0,4.0,16 a 30 años,4,No definida,"$ 3.465.116,28*m²",1.0,,, 298000000,86 ,86 
41,3.0,2.0,5.0,1 a 8 años,Otro,$ 218.000 COP,"$ 4.666.666,67*m²",1.0,Bueno,, 350000000,75 ,75 
42,2.0,2.0,6.0,,,$ 320.000 COP,"$ 6.216.216,22*m²",1.0,,, 460000000,74 ,0 
43,,,,,,,,,,, 240000000,,
44,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
45,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
46,,,,,,,,,,, 647307563,,
47,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
48,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
49,,,,,,,,,,, 561960000,,
50,3.0,2.0,5.0,1 a 8 años,Otro,$ 281.000 COP,"$ 6.798.801,57*m²",1.0,Excelente,, 590000000,"86,78 ",87 
51,,,,,,,,,,, 631862400,,
52,,,4.0,,,,,,Sobre planos,, 297126000,,
53,3.0,2.0,3.0,1 a 8 años,,$ 163.000 COP,$ 4.200.000*m²,,,, 210000000,50 ,0 
54,3.0,3.0,4.0,9 a 15 años,1,$ 244.000 COP,"$ 4.487.099,59*m²",1.0,Excelente,Duplex, 360000000,"80,23 ","80,23 "
55,4.0,3.0,4.0,16 a 30 años,4,No definida,"$ 3.465.116,28*m²",1.0,,, 298000000,86 ,86 
56,5.0,5.0,4.0,más de 30 años,Otro,$ 843.000 COP,"$ 2.188.552,19*m²",1.0,Excelente,, 650000000,297 ,297 
57,,,,,,,,,,, 347300000,,
58,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
59,4.0,5.0,6.0,9 a 15 años,7,$ 900.000 COP,"$ 4.280.155,64*m²",2.0,Excelente,Duplex, 1100000000,257 ,257 
60,,,,,,,,,,, 1417743028,,
61,2.0,2.0,4.0,16 a 30 años,11,No definida,"$ 4.081.632,65*m²",,,, 200000000,49 ,0 
62,2.0,2.0,6.0,menor a 1 año,Otro,$ 180.000 COP,$ 7.421.875*m²,1.0,Excelente,, 475000000,64 ,64 
63,,,,,,,,,,, 543532000,,
64,3.0,3.0,6.0,,,No definida,"$ 6.461.538,46*m²",,,, 840000000,130 ,130 
65,3.0,2.0,5.0,9 a 15 años,2,$ 60.000 COP,"$ 4.551.282,05*m²",1.0,,, 355000000,78 ,0 
66,,,,,,,,,,, 295210000,,
67,3.0,2.0,5.0,16 a 30 años,4,No definida,"$ 3.698.630,14*m²",1.0,Bueno,, 270000000,73 ,0 
68,3.0,4.0,5.0,más de 30 años,3,$ 607.000 COP,"$ 4.170.212,77*m²",1.0,Excelente,Duplex, 980000000,235 ,235 
69,,,4.0,,,,,,En construcción,, 488100000,,
70,4.0,5.0,6.0,1 a 8 años,15,$ 650.000 COP,"$ 6.162.790,7*m²",2.0,Excelente,, 1060000000,172 ,172 
71,3.0,3.0,5.0,9 a 15 años,,$ 320.000 COP,"$ 4.702.380,95*m²",1.0,,, 395000000,84 ,84 
72,,,6.0,,,,,,Sobre planos,, 553675000,,
73,,,,,,,,,,, 214626000,,
74,3.0,5.0,6.0,9 a 15 años,Otro,$ 1.050.000 COP,$ 7.400.000*m²,3.0,,, 1850000000,250 ,250 
75,,,,,,,,,,, 156520000,,
76,3.0,2.0,5.0,1 a 8 años,Otro,$ 218.000 COP,"$ 4.666.666,67*m²",1.0,Bueno,, 350000000,75 ,75 
77,3.0,3.0,4.0,16 a 30 años,7,$ 311.000 COP,"$ 3.197.674,42*m²",1.0,,, 275000000,86 ,86 
78,,,,,,,,,,, 825894200,,
79,3.0,2.0,5.0,9 a 15 años,2,No definida,"$ 3.334.127,17*m²",,Bueno,, 420000000,"125,97 ",115 
80,2.0,2.0,4.0,,,$ 230.000 COP,"$ 5.333.333,33*m²",1.0,,, 320000000,60 ,0 
81,1.0,1.0,5.0,1 a 8 años,9,$ 65.500 COP,$ 6.000.000*m²,,Excelente,Loft, 180000000,30 ,30 
82,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
83,3.0,2.0,5.0,1 a 8 años,Otro,$ 450.000 COP,$ 5.800.000*m²,2.0,Excelente,PentHouse, 638000000,110 ,0 
84,2.0,2.0,6.0,,,$ 320.000 COP,"$ 6.216.216,22*m²",1.0,,, 460000000,74 ,0 
85,2.0,2.0,3.0,9 a 15 años,5,$ 40.000 COP,"$ 4.818.181,82*m²",1.0,Excelente,Duplex, 265000000,55 ,55 
86,,,,,,,,,,, 240000000,,
